en;nl;fr;de;sv;pl;No;es
Enter a description;Voer een beschrijving in;Entrez une description;Geben Sie eine Beschreibung ein;Ange en beskrivning;Wprowadź opis;Skriv inn en beskrivelse;Introduce una descripción
will be published to;zal worden gepubliceerd op;sera publié pour;wird publiziert für;kommer att publiceras till;zostaną opublikowane we;vil bli publisert til;será publicado a
all organizations;alle organisaties;toutes les organisations;alle Organisationen;alla organisationer;wszytskich organizacjach;alle organisasjoner;todas las organizaciones
The configuration model's;Het configuratiemodel is;Le modèle de configuration;Das Konfigurationsmodell's;Konfigurationsmodellens;Model konfiguracji;Konfigurasjonsmodellens;El modelo de configuración
Publish as preview version;Publiceer als voorbeeldversie;Publier comme version de prévisualisation;Als Vorschauversion publizieren;Publicera som förhandsgranskningsversion;Publikuj jako wersję podglądową;Publiser som forh?svisningsversjon;Publicar como versión preliminar
Publish as production version;Publiceer als productieversie;Publier en tant que version de production;Als Produktionsversion publizieren;Publicera som produktionsversion;Publikuj jako wersję produkcyjną;Publisere som produksjonsversjon;Publicar como versión de producción
Conflicting quotations;Conflicterende offertes;Cotations contradictoires;Widersprüchliche Angebote;Motstridiga offerter;Sprzeczne oferty;Motstridende tilbud;Citas contradictorias
Warning! All quotations with status 'concept' will be changed to status 'archived'. Archived quotations can not be edited. However, it is possible to copy the archived quotation.;Waarschuwing! Alle offertes met status 'concept' worden gewijzigd in status 'gearchiveerd'. Gearchiveerde offertes kunnen niet worden bewerkt. Het is echter mogelijk om de gearchiveerde offerte te kopiëren.;"Attention ! Toutes les devis avec le statut """"concept"""" seront changés en statut """"archivé"""". Les devis archivés ne peuvent pas être modifiés. Cependant, il est possible de copier les devis archivée.";"Achtung! Alle Angebote mit dem Status """"Konzept"""" werden in den Status """"archiviert"""" geändert. Archivierte Angebote können nicht bearbeitet werden. Es ist jedoch möglich, das archivierte Angebot zu kopieren.";"Varning! Alla offerter med status """"concept"""" kommer att ändras till status """"archived"""". Arkiverade offerter kan inte redigeras. Det är dock möjligt att kopiera den arkiverade offerten.";"Ostrzeżenie! Wszystkie oferty ze statusem """"koncept"""" zostaną zmienione na status """"zarchiwizowane"""". Zarchiwizowanych ofert nie można edytować. Istnieje jednak możliwość skopiowania zarchiwizowanej oferty.";Advarsel! Alle tilbud med status 'konsept' vil bli endret til status 'arkivert'. Arkiverte tilbud kan ikke redigeres. Det er imidlertid mulig ?opiere det arkiverte tilbudet.;¡Advertencia! Todas las cotizaciones con el estado 'concepto' se cambiarán al estado 'archivado'. Las cotizaciones archivadas no se pueden editar. Sin embargo, es posible copiar la cotización archivada.
Open;Openen;Ouvrir;öffnen;Öppna;Otwórz;Uen;Abierto
Edit hotspot;Hotspot bewerken;Modifier le hotspot;Hotspot bearbeiten;Redigera hotspot;Edytuj hotspot;Rediger hotspot;Editar punto de acceso
Select feature;Selecteer feature;Sélectionner une fonction;Funktion auswählen;Välj funktion;Wybierz wyposażenie;Velg funksjon;Seleccionar función
No features have been selected. All features will be displayed in this step.;Er zijn geen features geselecteerd. In deze stap worden alle features weergegeven.;Aucune caractéristique n'a été sélectionnée. Toutes les caractéristiques seront affichées dans cette étape.;Es wurden noch keine Funktionen ausgewählt. In diesem Schritt werden alle Funktionen angezeigt.;Inga funktioner har valts. Alla funktioner visas i det här steget.;Nie wybrano żadnych elementów. W tym kroku zostaną wyświetlone wszystkie elementy.;Ingen funksjoner er valgt. Alle funksjoner vises i dette steget.;No se han seleccionado funciones. Todas las funciones se mostrarán en este paso.
Add visible feature;Zichtbare feature toevoegen;Ajouter une fonction visible;Sichtbare Funktion hinzufügen;Lägg till synlig funktion;Dodaj widoczny element;Legg til synlig funksjon;Agregar característica visible
Add feature;Feature toevoegen;Ajouter une fonction;Funktion hinzufügen;Lägg till funktion;Dodaj element;Legg til funksjon;Agregar característica
Edit image;Bewerk afbeelding;Modifier l'image;Bild bearbeiten;Redigera bild;Edytuj obraz;Rediger bilde;Editar imagen
Objects attached to;Objecten vastgemaakt aan;Objets attachés à;Objekte, die verbunden sind mit;Objekt som är kopplade till;Obikety dołączone do;Objekter knyttet til;Objetos adjuntos a
Object name;Objectnaam;Nom de l'objet;Objektname;Objektnamn;Nazwa obiektu;Navn p?bjekt;Nombre del objeto
Hidden object name;Verborgen objectnaam;Nom de l'objet caché;Verborgener Objektname;Dolt objektnamn;Ukryta nazwa obiektu;Navn p?kjult objekt;Nombre del objeto oculto
Are you sure you want to delete this step?;Weet je zeker dat je deze stap wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette étape ?;Sind Sie sicher, dass Sie diesen Schritt löschen wollen?;Är du säker på att du vill ta bort det här steget?;Czy na pewno chesz usunąć ten krok?;Er du sikker p?t du vil slette dette steget?;¿Está seguro de que desea eliminar este paso?
Title;Titel;Titre;Titel;Titel;Tytuł;Tittel;Título
Yes;Ja;Oui;Ja;Ja;Tak;Ja;Sí
No;Nee;Non;Nein;Nej;Nie;Nei;No
Add step;Stap toevoegen;Ajouter une étape;Schritt hinzufügen;Lägg till ett steg;Dodaj krok;Legg til steg;Agregar paso
Step icon;Stap icoon;Icône de l'étape;Schritt-Symbol;Stegikon;Ikona kroku;Stegikon;icono de paso
Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Puntos calientes
Linked configuration models;Gekoppelde configuratiemodellen;Modèles de configuration liés;Verlinkte Konfigurationsmodelle;Länkade konfigurationsmodeller;Połączone modele konfiguracji;Koblede konfigurasjonsmodeller;Modelos de configuración vinculados
Remove;Verwijderen;Supprimer;Entfernen;Ta bort;Usuń;Fjerne;Eliminar
Configuration starting values allow you to override the default values of features in a linked configuration model, based on the value of a feature in the parent configuration.;Met beginwaarden voor configuratie kunt u de standaardwaarden van features in een gekoppeld configuratiemodel overschrijven, op basis van de waarde van een feature in de bovenliggende configuratie.;Les valeurs de départ de la configuration vous permettent de remplacer les valeurs par défaut des fonctionnalités dans un modèle de configuration lié, en fonction de la valeur d'une fonctionnalité dans la configuration parente.;Konfigurationsstartwerte ermöglichen es Ihnen, die Standardwerte von Funktionen in einem verlinkten Konfigurationsmodell zu überschreiben, basierend auf dem Wert einer Funktion in der Hauptkonfiguration.;Med Konfigurationsstartvärden kan du ersätta grundvärdena för funktioner i en länkad konfigurationsmodell, baserat på en funktion i den huvudkonfigurationen.;Początkowe wartości konfiguracji umożliwiają zastąpienie domyślnych wartości obiektów w połączonym modelu konfiguracji na podstawie wartości elementu w konfiguracji nadrzędnej.;Med konfigurasjonens startverdier kan du overstyre verdiene som er satt som standard for den koblede konfigurasjonsmodellens funksjoner, basert p?erdien av funksjonen i den overordnede konfigurasjonen.;Los valores iniciales de configuración le permiten anular los valores predeterminados de las funciones en un modelo de configuración vinculado, en función del valor de una función en la configuración principal.
Configuration starting values;Configuratie startwaarden;Valeurs de départ de la configuration;Startwerte der Konfiguration;Startvärden för konfigurationen;Początkowe wartości konfiguracji;Ingen startverdier for konfigurasjon definert;Valores iniciales de configuración
No configuration starting values defined;Geen beginwaarden voor configuratie gedefinieerd;Aucune valeur de départ de configuration définie;Keine Startwerte für die Konfiguration definiert;Inga konfigurationsstartvärden definierade;Nie zdefiniowano żadnych początkowych wartości konfiguracji;Ingen startverdier for konfigurasjon definert;No se han definido valores iniciales de configuración
Add starting value;Voeg beginwaarde toe;Ajouter une valeur de départ;Startwert hinzufügen;Lägg till startvärde;Dodaj wartość początkową;Legge til startverdi;Agregar valor inicial
Changes made in the Quotation are overwritten in Order Entry. Do you want to continue?;Wijzigingen in de offerte worden overschreven in Order Entry. Wilt u doorgaan?;Les modifications apportées a les devis sont écrasées dans la saisie de la commande. Voulez-vous continuer ?;Die im Angebot vorgenommenen Änderungen werden in der Auftragseingabe überschrieben. Möchten Sie fortfahren?;Ändringar som görs i offerten överskrivs i orderingången. Vill du fortsätta?;Zmiany dokonane w Ofercie są nadpisywane przy wejściu do Zamówień. Czy chcesz kontynuować?;Endringer som gjøres i tilbudet, overskrives i rekkefølgeoppføringen. Vil du fortsette?;Los cambios realizados en la Cotización se sobrescriben en Entrada de pedidos. ¿Quieres continuar?
Are you sure you want to add your configuration to a quotation?;Weet u zeker dat u uw configuratie aan een offerte wilt toevoegen?;Êtes-vous sûr de vouloir ajouter votre configuration à un devis ?;Sind Sie sicher, dass Sie Ihre Konfiguration zu einem Angebot hinzufügen möchten?;Är du säker på att du vill lägga till din konfiguration i en offert?;Czy na pewno chesz dodać konfigurację do oferty?;Er du sikker p?t du vil legge til konfigurasjonen i et tilbud?;¿Está seguro de que desea agregar su configuración a una cotización?
Confirm Action;Bevestig actie;Confirmer l'action;Aktion bestätigen;Bekräfta åtgärd;Potwierdź akcję;Bekreft handling;Confirmar acción
Discount lines;Kortingsregels;Lignes d'escompte;Rabattlinien;Rabatterade rader;Linie rabatu;Linjer for rabatt;líneas de descuento
From;Vanaf;Depuis;Von;Från;Od;Fra;De
Download PDF;Download PDF;Télécharger le PDF;PDF herunterladen;Ladda ner PDF;Pobierz plik PDF;Last ned PDF;Descargar PDF
Attach to quotation;Toevoegen aan offerte;Joindre au devis;Zum Angebot anhängen;Bifoga till offert;Dołącz do oferty;Legg ved tilbud;Adjuntar a cotización
Download DOCX;Download DOCX;Télécharger DOCX;DOCX herunterladen;Ladda ner DOCX;Pobierz plik DOCX;Last ned DOCX;Descargar DOCX
Generate pdf;PDF genereren;Générer pdf;PDF generieren;Generera pdf;Generuj plik PDF;Generere pdf;Generar pdf
Generate docx;DOCX genereren;Générer docx;DOCX generieren;Generera docx;Generuj plik DOCX;Generere docx;generar docx
Pending;In afwachting;En attente;In bearbeitung;I väntan på;W trakcie realizacji;Venter;Pendiente
Unanswered mandatories;Onbeantwoorde vereisten;Mandats sans réponse;Unbeantwortete Verpflichtungen;Obesvarade uppdrag;Obowiązkowe zlecenia bez odpowiedzi;Ubesvarte mandater;Obligatorios sin responder
Use existing feature;Gebruik bestaande feature;Utiliser une fonctionnalité existante;Bestehende Funktion verwenden;Använd befintlig funktion;Użyj istniejącego obiektu;Bruk eksisterende funksjon;Usar función existente
Create new feature;Nieuwe feature aanmaken;Créer une nouvelle fonctionnalité;Neues Funktion erstellen;Skapa en ny funktion;Stwórz nowy obiekt;Opprett ny funksjon;Crear nueva característica
Text expression;Tekst expressie;Expression textuelle;Text-Ausdruck;Textuttryck;Wyrażenie tekstowe;Tekstuttrykk;expresión de texto
Display text value;Tekstwaarde weergeven;Afficher la valeur du texte;Textwert anzeigen;Visa textvärde;Wyświetlanie wartości tekstowej;Vis tekstverdi;Mostrar valor de texto
Pre-configuration;Voor-configuratie;Préconfiguration;Vorkonfiguration;Förkonfiguration;Konfiguracja wstępna;Pre-konfigurasjon;Preconfiguración
Select feature(s);Selecteer feature(s);Sélectionner une ou plusieurs caractéristiques;Funktion(en) auswählen;Välj funktion(er);Wybierz elememt/y;Velg funksjon(er);Seleccionar característica(s)
Export;Exporteren;Exporter;Exportieren;Exportera;Exportuj;Eksporter;Exportar
Apply discount;Korting toepassen;Appliquer une remise;Rabatt anwenden;Tillämpa rabatt;Zastosuj rabat;Legg til rabatt;Aplicar descuento
Apply on ex. VAT;Toepassen op ex. BTW;Appliquer sur ex. TVA;Anwenden auf ex. MWST.;Tillämpa på ex. MOMS;Zastosuj do ex. VAT;Legg til p?ks. mva;Aplicar en ej. IVA
Discount Amount;Kortingsbedrag;Montant de la remise;Rabatt-Betrag;Rabattbelopp;Kwota rabatu;Rabattbeløp;Importe de descuento
Discount Percentage;Kortingspercentage;Pourcentage de la remise;Rabatt-Prozentsatz;Procentuell rabatt;Procent rabatu;Rabattprosenten;Porcentaje de descuento
Edit permissions;Bewerk rechten;Modifier les autorisations;Berechtigungen bearbeiten;Redigera behörigheter;Edytuj uprawnienia;Redigere tillatelser;Editar permisos
Manage billing;Facturatie beheren;Gérer la facturation;Fakturierung verwalten;Hantera fakturering;Zarządzaj rozliczeniami;Administrere fakturering;Administrar facturación
Submit quotation;Offerte indienen;Soumettre un devis;Angebot einreichen;Lämna offert;Prześlij ofertę;Send inn tilbud;Enviar cotización
Accept quotation;Offerte accepteren;Accepter les devis;Angebot annehmen;Godkänn offert;Zaakceptuj ofertę;Godta tilbud;Aceptar cotización
Verify quotation;Offerte verifiëren;Vérifier les devis;Angebot prüfen;Kontrollera offert;Zweryfikuj ofertę;Bekreft tilbud;Verificar cotización
Sales Price;Verkoopprijs;Prix de vente;Verkaufspreis;Försäljningspris;Cena sprzedaży;Salgspris;Precio de venta
Allow Elfsquad support access;Toegang verlenen tot Elfsquad support;Autoriser l'accès au support Elfsquad;Elfsquad-Support Zugang gewähren;Tillåt Elfsquad support att få tillgång till;Zezwól na dostęp do pomocy technicznej Elfsquad;Tillat Elfsquad tilgang til suppport;Permitir el acceso al soporte de Elfsquad
Add new user;Nieuwe gebruiker toevoegen;Ajouter un nouvel utilisateur;Neuen Benutzer hinzufügen;Lägg till en ny användare;Dodaj nowego użytkownika;Legg til ny bruker;Añadir nuevo usuario
Is admin;Is beheerder;Est admin;Ist Administrator;Är administratör;Jest adminem;Er admin;es administrador
Require two factor authentication;Vereis twee-stap authenticatie;Requiert une authentification à deux facteurs;Verlangt Zwei-Faktor-Authentifizierung;Kräver tvåfaktorsautentisering;Wymaga uwierzytelnienia dwuskładnikowego;Krev tofaktorautentisering;Requerir autenticación de dos factores
Are you sure you want to delete this quotation;Weet u zeker dat u deze offerte wilt verwijderen;Êtes-vous sûr de vouloir supprimer cette devis;Sind Sie sicher, dass Sie dieses Angebot löschen möchten?;Är du säker på att du vill ta bort offerten?;Czy na pewno chcesz usunąć tą ofertę?;Er du sikker p?t du vil slette dette tilbudet?;¿Está seguro de que desea eliminar esta cotización?
Delete Quotation;Offerte verwijderen;Supprimer le devis;Angebot löschen;Ta bort offert;Usuń ofertę;Slett tilbud;Eliminar cotización
Select sub-organization;Selecteer sub-organisatie;Sélectionnez une sous-organisation;Sub-Organisation auswählen;Välj sub-organisation;Wybierz spółkę;Velg underorganisasjon;Seleccionar suborganización
Default locale;Standaard taal;Localité par défaut;Standard-Lokalisierung;Standardlokal;Domyślne ustawienia regionalne;Standardlokale;Configuración regional predeterminada
Custom new user mail;Aangepaste nieuwe gebruikersmail;Courrier personnalisé pour les nouveaux utilisateurs;Benutzerdefinierte Mail für neue Benutzer;E-post för nya användare;Niestandardowa poczta nowego użytkownika;Tilpasset ny bruker-e-post;Correo de nuevo usuario personalizado
Workflow;Werkstroom;Flux de travail;Workflow;Arbetsflöde;Przepływ pracy;Arbeidsflyt;flujo de trabajo
Add new status;Nieuwe status toevoegen;Ajouter un nouveau statut;Neuen Status hinzufügen;Add new status;Dodaj nowy status;Legg til ny status;Agregar nuevo estado
Allowed quotation seller actions;Toegestane offerte verkopersacties;Actions autorisées du vendeur de devis;Erlaubte Verkäuferaktionen für Angebote;Tillåtna åtgärder för offertsäljare;Dozwolone działania dla sprzedawców ofert;Tillatte tilbuds - eller selgerhandlinger;Acciones de vendedor de cotizaciones permitidas
Display Overview button in last step;Toon overzichtknop in laatste stap;Afficher le bouton Aperçu dans la dernière étape;Übersichtsschaltfläche im letzten Schritt anzeigen;Visa översiktsknappen i sista steget;Wyświetl przycisk Podgląd w ostatnik kroku;Vis oversikt-knappen i siste steg;Mostrar el botón Resumen en el último paso
Background image which is displayed at the welcome page. This image is displayed when the YouTube url is not set;Achtergrondafbeelding die wordt weergegeven op de welkomstpagina. Deze afbeelding wordt getoond wanneer de YouTube-url niet is ingesteld;Image de fond qui est affichée sur la page d'accueil. Cette image est affichée lorsque l'url de YouTube n'est pas définie.;Hintergrundbild, das auf der Willkommensseite angezeigt wird. Dieses Bild wird angezeigt, wenn die YouTube-Url nicht gesetzt ist.;Bakgrundsbild som visas på välkomstsidan. Bilden visas när YouTube-adressen inte är inställd.;Obraz tła, który jest wyświetlany na stronie powitalnej. Ten obraz jest wyświetlany, gdy adres URL YouTube nie jest ustawiony;Bakgrunnsbilde som vises p?elkomstsiden. Dette bildet vises n?YouTube-nettadressen ikke er angitt;Imagen de fondo que se muestra en la página de bienvenida. Esta imagen se muestra cuando la URL de YouTube no está configurada
YouTube video which is displayed at the welcome page. Only the video ID should be pasted here, which means that if the url is <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> the ID is <code>dQw4w9WgXcQ</code>. If no YouTube video is set, the background will be displayed by default.;YouTube-video die wordt weergegeven op de welkomstpagina. Alleen de video-ID moet hier worden ingevoerd, dus als de url <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> is, is de ID <code>dQw4w9WgXcQ</code>. Als er geen YouTube-video is ingesteld, wordt de achtergrond standaard getoond.;La vidéo YouTube qui est affichée sur la page d'accueil. Seul l'ID de la vidéo doit être collé ici, ce qui signifie que si l'url est <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> l'ID est <code>dQw4w9WgXcQ</code>. Si aucune vidéo YouTube n'est définie, l'arrière-plan sera affiché par défaut.;Hier bedeutet das, dass wenn die Url lautet: <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code> the ID is <code>dQw4w9WgXcQ</code>. Wenn kein YouTube-Video eingestellt ist, wird standardmäßig der Hintergrund angezeigt.;;Film z YouTube, który jest wyświetlany na stronie powitalnej. W tym miejscu należy wkleić tylko identyfikator wideo, co oznacza, że jeśli adres URL jest <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code>, identyfikator to <code>dQw4w9WgXcQ</code>. Jeśli nie ustawiono żadnego filmu z YouTube, tło będzie wyświetlane domyślnie.;YouTube-videoen som vises p?elkomstsiden. Det er bare video-ID-en som skal limes inn her, noe som betyr at hvis nettadressen er <code>https://www.youtube.com/watch?v=dQw4w9WgXcQ</code>, er ID-en <code>dQw4w9WgXcQ</code>. Hvis ingen YouTube-video er angitt, vises bakgrunnen som standard.;#WAARDE!
Enable 3D footprint;3D-voetafdruk inschakelen;Activation de l'empreinte 3D;3D-Fußabdruck aktivieren;Aktivera 3D-avtryck;Włącz ślad 3D;Aktiver 3D-avtrykk;Habilitar huella 3D
Enable 3D labels;3D-labels inschakelen;Activer les étiquettes 3D;3D-Beschriftungen aktivieren;Aktivera 3D-etiketter;Włącz etykiety 3D;Aktivere 3D-etiketter;Habilitar etiquetas 3D
Click to create a new quotation condition;Klik om een eigenschap aan te maken;Cliquez pour créer une nouvelle condition de devis;Klicken Sie, um eine neue Angebotskondition zu erstellen;Skapa ett nytt offertvillkor genom att klicka här.;Kliknij, aby utworzyć nowy warunek oferty;Klikk for ?pprette en ny tilbudsbetingelse;Haga clic para crear una nueva condición de cotización
Upvalue;Meerprijs;Valoriser;Aufwertung;Uppvärdera;Zwiększenie wartości;Oppgradering;Valor superior
Link;Link;Lier;Link;Link;Link;Lenke;Enlace
Create quote;Offerte aanmaken;Créer un devis;Angebot erstellen;Skapa offert;Stwórz ofertę;Opprett tilbud;Crear cotización
Search in docs;Zoeken in documentatie;Recherche dans les documents;in Dokumenten suchen;Sök i dokumenten;Wyszkaj w docs;Søk i dokumenter;Buscar en documentos
New quotation created;Nieuwe offerte aangemaakt;Nouveau devis créé;Neues Angebot erstellt;Ny offert skapad;Nowa oferta stworzona;Nytt tilbud opprettet;Nuevo presupuesto creado
Options for 3D Mapping;Opties voor 3D-toewijzing;Options pour la cartographie 3D;Optionen für 3D Mapping;Alternativ för 3D-mappning;Opcje mapowania 3D;Alternativer for 3D-mapping;Opciones para mapeo 3D
Convert 3D Mapping to Features;Converteer 3D-toewijzing voor Features;Convertir la cartographie 3D en caractéristiques;3D-Mapping in Funktionen konvertieren;Konvertera 3D-mappning till funktioner;Konwertuj mapowanie 3D do elementów;Konvertere 3D-mapping til funksjoner;Convertir mapeo 3D en características
Remove 3D Mapping from Features;Verwijder 3D-toewijzing van Features;Supprimer le mappage 3D des caractéristiques;3D-Mapping aus Funktionen entfernen;Ta bort 3D-mappning från funktioner;Usuń mapowanie 3D z elementów;Fjerne 3D-mapping fra funksjoner;Quitar el mapeo 3D de las funciones
Convert 3D Mapping to Nodes;Converteer 3D-toewijzing voor Nodes;Convertir le mappage 3D en nœuds;3D-Mapping in Nodes konvertieren;Konvertera 3D-mappning till noder;Konwertuj mapowanie 3D do kart;Konvertere 3D-mapping til noder;Convertir mapeo 3D en nodos
Remove 3D Mapping from Nodes;Verwijder 3D-toewijzing van Nodes;Supprimer le mappage 3D des nœuds;3D-Mapping aus Nodes entfernen;Ta bort 3D-mappning från noder;Usuń mapowanie 3D z kart;Fjerne 3D-tilordning fra noder;Eliminar el mapeo 3D de los nodos
Total assigned 3D objects to Features:;Totaal toegewezen 3D-objecten aan Features:;Total des objets 3D attribués aux caractéristiques :;Gesamtzahl der den Funktionen zugewiesenen 3D-Objekte:;Totalt tilldelade 3D-objekt till funktioner:;Łączna ilość przypisanych obiektów 3D do elementów:;Totalt antall tilordnede 3D-objekter til funksjoner:;Total de objetos 3D asignados a Características:
Total assigned 3D objects to Nodes:;Totaal toegewezen 3D-objecten aan Nodes:;Total des objets 3D assignés aux nœuds :;Gesamtzahl der den Nodes zugewiesenen 3D-Objekte:;Totalt antal 3D-objekt som fördelats till noder:;Łączna ilość przypisanych obiektów 3D do kart:;Total assigned 3D objects to Nodes:;Total de objetos 3D asignados a Nodos:
Current:;Huidig:;Actuel :;Aktuell:;Nuvarande:;Aktualny:;N?rende:;Actual:
CoC number;KvK-nummer;Numéro de CdC;CoC-Nummer;CoC-nummer;Numer REGON;CoC-nummer;número de CC
Undo your last action by:;Ga terug naar je vorige actie:;Annulez votre dernière action en :;Ihre letzte Aktion rückgängig machen durch:;Ångra din senaste åtgärd genom att:;Cofnij ostatnią czynność, wykonując następujące czynności:;Angre den siste handlingen ved ?;Deshacer su última acción por:
1. Deselecting the Feature you selected last.;1. Deselecteer de Feature, die als laatst is geselecteerd.;1. Désélectionnant l'élément que vous avez sélectionné en dernier.;1. Aufhebung der Auswahl des zuletzt ausgewählten Funktion;1. Ta bort valet av den funktion som du valde sist.;1. Usuń zaznaczenie ostatnio wybranego elementu;1. Fjern markeringen for funksjonen du valgte sist.;1. Anular la selección de la última función que seleccionó.
2. Selecting an alternative to the Feature you selected last.;2. Selecteer een andere alternatief voor het laatste geselecteerde Feature.;2. En sélectionnant une autre fonction que celle que vous avez sélectionnée en dernier.;2. Auswahl einer Alternative zu dem zuletzt ausgewählten Funktion;2. Välja ett alternativ till den funktion du valde sist.;2. Wybierz alternatywny element dla ostatniego wybranego elementu;2. Velge et alternativ til funksjonen du valgte sist.;2. Seleccionar una alternativa a la función que seleccionó en último lugar.
This could be caused by a change in the parent configuration.;Dit kan veroorzaakt zijn door een verandering in de bovenliggende configuratie.;Cela peut être dû à une modification de la configuration parentale.;Dies kann durch eine Änderung in der Hauptkonfiguration verursacht werden.;Detta kan orsakas av en ändring i den överordnade konfigurationen.;Może to być spowodowane zmianą konfiguracji nadrzędnej.;Dette kan skyldes en endring i den overordnede konfigurasjonen.;Esto podría deberse a un cambio en la configuración principal.
You are pasting a root node. You must choose a relationship type for this node.;Je plakt een root node. Je moet een relatietype kiezen voor deze node.;Vous collez un nœud racine. Vous devez choisir un type de relation pour ce nœud.;Sie fügen einen Root-Knoten ein. Sie müssen einen Beziehungstyp für diesen Knoten auswählen.;Du klistrar in en rotnod. Du måste välja en relationstyp för den här noden.;Wklejasz kartę główną. Należy wybrać typ relacji dla tej karty.;Du limer inn en rotnode. Du m?elge en relasjonstype for denne noden.;Está pegando un nodo raíz. Debe elegir un tipo de relación para este nodo.
Paste operation has been cancelled.;Plakken is geannuleerd.;L'opération de collage a été annulée.;Der Einfügevorgang wurde abgebrochen.;Inklistringsoperationen har avbrutits.;Operacja wklejania została anulowana.;Innlimingen er avbrutt.;Se ha cancelado la operación de pegado.
Retrieving Linked Models for Hierarchy...;Ophalen van linked models voor hiërarchie;Récupération des modèles liés pour la hiérarchie...;Abrufen von gekoppelten Modellen für Hierarchien...;Hämta länkade modeller för hierarki...;Pobieranie połączonych modeli dla hierarchii...;Henter koblede modeller for hierarki...;Recuperando modelos vinculados para jerarquía...
Publishing all linked models?;Alle linked modellen publiceren?;Publier tous les modèles liés ?;Alle verlinkten Modelle veröffentlichen?;Publicera alla länkade modeller?;Publikować wszystkie powiązane modele?;Publisere alle koblede modeller?;¿Publicar todos los modelos vinculados?
Publishing all linked models...;Publiceer alle linked modellen...;Publier tous les modèles liés...;Alle verlinkten Modelle veröffentlichen...;Publicera alla länkade modeller...;Publikowanie wszystkich powiąznaych modeli...;Publisere alle koblede modeller ...;Publicando todos los modelos vinculados...
Unit Price;Stukprijs;Prix unitaire;Stückpreis / Einzelpreis;Pris per enhet;Cena jednostkowa;Enhetspris;Precio unitario
Unit price;Eenheid prijs;Prix unitaire;Preis pro Einheit;Pris per enhet;Cena jednostkowa;Enhetspris;Precio unitario
will publish all linked models that haven't been released yet.;Dit publiceer alle linked modellen, die niet zijn publiek zijn.;publiera tous les modèles liés qui n'ont pas encore été publiés.;wird alle verlinkten Modelle veröffentlichen, die noch nicht freigegeben wurden.;publicerar alla länkade modeller som inte har släppts ännu.;opublikuje wszystkie powiązane modele, które nie zostały jeszcze wypuszczone.;vil publisere alle koblede modeller som ikke er utgitt enn?;publicará todos los modelos vinculados que aún no se hayan lanzado.
Are you sure you want to continue?;Weet je zeker dat je verder wilt gaan?;Êtes-vous sûr de vouloir continuer ?;Sind Sie sicher, dass Sie weitermachen wollen?;Är du säker på att du vill fortsätta?;Jesteś pewny/a, że chcesz kontynuować?;Er du sikker p?t du vil fortsette?;Estás seguro de que quieres continuar?
Please wait while your configuration model is being published.;Wacht a.u.b. totdat het configuratie model is gepubliceerd.;Veuillez patienter pendant que votre modèle de configuration est publié.;Bitte warten Sie, während Ihr Konfigurationsmodell veröffentlicht wird.;Vänta medan din konfigurationsmodell publiceras.;Proszę poczekaj na opublikowanie modelu konfiguracji.;Vent mens konfigurasjonsmodellen publiseres.;Espere mientras se publica su modelo de configuración.
Publishing Linked configuration models;Publiceer linked configuratie modellen;Publication de modèles de configuration liés;Verlinkte Konfigurationsmodelle publizieren;Publicera länkade konfigurationsmodeller;Publikowanie powiąznaych modeli konfiguracji;Publisere koblede konfigurasjonsmodeller;Publicación de modelos de configuración vinculados
Your current configuration model contains linked models.;Het configuratie model bevat linked modellen;Votre modèle de configuration actuel contient des modèles liés.;Ihr aktuelles Konfigurationsmodell enthält verlinkte Modelle.;Din nuvarande konfigurationsmodell innehåller länkade modeller.;Bieżący model konfiguracji zawiera modele połączone.;Den gjeldende konfigurasjonsmodellen inneholder koblede modeller.;Su modelo de configuración actual contiene modelos vinculados.
If a linked model is never been published as production, it will get errors in the order entry or showroom.;Als een linked model nog nooit is gepubliceerd in productie, dan zie je errormeldingen in de Order Entry of showroom.;Si un modèle lié n'a jamais été publié en tant que production, des erreurs apparaîtront dans l'entrée de commande ou le showroom.;Wenn ein verlinktes Modell noch nie als Produktion veröffentlicht wurde, wird es in der Auftragserfassung oder im Showroom fehlerhaft angezeigt.;Om en länkad modell aldrig har publicerats som produktion kommer den att få fel i orderingången eller showroomet.;Jeśli powiązany model nigdy nie zostanie opublikowany jako produkcja, będzie on zawierał błędy we wprowadzeniu zamówienia lub showroom.;Hvis en koblet modell aldri blir publisert som produksjon, vil den f?eil i ordreregistreringen eller showroomet.;Si un modelo vinculado nunca se publica como producción, obtendrá errores en la entrada de pedidos o en la sala de exposición.
Please check if all linked models are published.;Bekijk a.u.b. of alle linked modellen zijn gepubliceerd in productie.;Veuillez vérifier si tous les modèles liés sont publiés.;Bitte prüfen Sie, ob alle verlinkten Modelle publiziert sind.;Kontrollera om alla länkade modeller är publicerade.;Proszę sprawdź, czy wszystkie powiązane modele są opublikowane.;Sjekk om alle koblede modeller er publisert.;Compruebe si todos los modelos vinculados están publicados.
